alpha,c_l,c_d,c_m,ltd,converged
-9.0,-0.638,0.06152,-0.051,-10.37,1.0
-8.0,-0.659,0.04578,-0.04456,-14.39,0.0
-7.0,-0.622,0.03256,-0.038,-19.11,1.0
-6.0,-0.5513,0.02606,-0.03244,-21.16,1.0
-5.0,-0.4688,0.02231,-0.02821,-21.02,1.0
-4.0,-0.3801,0.01973,-0.02539,-19.27,1.0
-3.0,-0.2917,0.01823,-0.02333,-16.0,1.0
-2.0,-0.163,0.01706,-0.02754,-9.55,1.0
-1.0,0.0516,0.01744,-0.04517,2.959,1.0
0.0,0.2324,0.01704,-0.05936,13.64,1.0
1.0,0.38,0.0162,-0.0646,23.45,1.0
2.0,0.4934,0.01573,-0.06232,31.36,1.0
3.0,0.591,0.01598,-0.0576,36.97,1.0
4.0,0.6924,0.01653,-0.05368,41.9,1.0
5.0,0.79,0.01729,-0.04932,45.7,1.0
6.0,0.882,0.01822,-0.0444,48.4,1.0
7.0,0.9634,0.01949,-0.03818,49.44,1.0
8.0,1.021,0.02316,-0.02965,44.1,1.0
9.0,1.081,0.02861,-0.02242,37.78,1.0
10.0,1.157,0.03583,-0.01817,32.3,1.0
11.0,1.221,0.0443,-0.01316,27.56,1.0
12.0,1.218,0.05438,-0.001875,22.38,1.0
13.0,1.147,0.0694,0.006454,16.53,1.0
14.0,0.787,0.1643,-0.04813,4.793,1.0
15.0,0.8066,0.1816,-0.05246,4.44,1.0
16.0,-0.00822,0.00687,0.003366,-1.195,0.0
