alpha,c_l,c_d,c_m,converged
-9.0,0.1937,0.2625,-0.04257,0.0
-8.0,-0.341,0.0917,-0.03793,1.0
-7.0,-0.4531,0.08746,-0.0398,1.0
-6.0,-0.4626,0.05698,-0.04733,1.0
-5.0,-0.3733,0.0369,-0.05734,1.0
-4.0,-0.2119,0.02953,-0.0694,1.0
-3.0,-0.06122,0.02576,-0.0776,1.0
-2.0,0.09546,0.02342,-0.086,1.0
-1.0,0.2537,0.01997,-0.09174,1.0
0.0,0.3872,0.01962,-0.0948,1.0
1.0,0.519,0.01886,-0.09644,1.0
2.0,0.6313,0.01886,-0.095,1.0
3.0,0.744,0.01901,-0.0935,1.0
4.0,0.8423,0.02003,-0.09033,1.0
5.0,0.9507,0.02075,-0.0884,1.0
6.0,1.044,0.02184,-0.08417,1.0
7.0,1.14,0.02243,-0.0798,1.0
8.0,1.215,0.02307,-0.0723,1.0
9.0,1.269,0.0238,-0.06146,1.0
10.0,1.265,0.02635,-0.04266,1.0
11.0,1.231,0.03317,-0.02509,1.0
12.0,1.231,0.0409,-0.01487,1.0
13.0,1.2705,0.04837,-0.008446,1.0
14.0,1.305,0.05768,-0.003105,1.0
15.0,1.274,0.07025,0.002197,1.0
16.0,1.212,0.0875,0.001838,1.0
