alpha,c_l,c_d,c_m,ltd,converged
-9.0,-0.2683,0.0856,-0.06537,-3.137,1.0
-8.0,-0.6753,0.04706,-0.03836,-14.34,1.0
-7.0,-0.609,0.04385,-0.03412,-13.89,1.0
-6.0,-0.5117,0.04224,-0.03293,-12.12,1.0
-5.0,-0.4187,0.04013,-0.03111,-10.43,1.0
-4.0,-0.2778,0.03693,-0.03516,-7.527,1.0
-3.0,-0.2068,0.03723,-0.02962,-5.555,1.0
-2.0,-0.1311,0.03778,-0.02464,-3.47,1.0
-1.0,0.03075,0.0352,-0.03043,0.8735,1.0
0.0,0.07947,0.03687,-0.0218,2.156,1.0
1.0,0.08215,0.0407,-0.00793,2.02,1.0
2.0,0.3142,0.0365,-0.02106,8.6,1.0
3.0,0.2708,0.04193,-0.0006485,6.453,1.0
4.0,0.1493,0.05807,0.01843,2.57,1.0
5.0,0.512,0.04282,0.000216,11.96,0.0
6.0,0.4692,0.0526,0.014946,8.914,1.0
7.0,0.5103,0.0661,0.01022,7.723,1.0
8.0,0.7905,0.05936,-0.010376,13.32,0.0
9.0,0.7617,0.05566,0.00742,13.69,0.0
10.0,0.3672,0.1094,0.01724,3.357,1.0
11.0,0.2754,0.133,0.01352,2.068,1.0
12.0,0.3394,0.1418,0.01133,2.393,1.0
13.0,0.2996,0.1604,0.00467,1.867,1.0
14.0,0.3591,0.1727,0.001822,2.078,0.0
15.0,0.10095,0.1304,0.02437,0.774,1.0
16.0,0.4238,0.1887,-0.00735,2.246,1.0
