alpha,c_l,c_d,c_m,converged
-9.0,-8.81,0.004246,1.548,0.0
-8.5,-16.58,0.003836,3.234,0.0
-8.0,-12.02,0.004066,2.31,0.0
-7.5,-2.166,0.006363,0.237,0.0
-7.0,-4.81,0.00482,0.7983,0.0
-6.5,-1.959,0.006027,0.2286,0.0
-6.0,-2.023,0.00601,0.2421,0.0
-5.5,-2.611,0.005352,0.398,0.0
-5.0,-3.275,0.00478,0.566,0.0
-4.5,-0.7485,0.006542,0.01528,0.0
-4.0,-0.87,0.006073,0.083,0.0
-3.5,-0.3647,0.006645,-0.004578,0.0
-3.0,-2.873,0.004406,0.541,0.0
-2.5,-0.2532,0.00645,-0.00318,1.0
-2.0,-0.1996,0.006184,-0.002892,1.0
-1.5,-0.1503,0.006134,-0.00175,1.0
-1.0,-0.1008,0.006298,-0.0007553,1.0
-0.5,-0.0512,0.007,-0.0003862,1.0
0.0,-0.0,0.007126,0.0,1.0
0.5,0.0512,0.007,0.0003862,1.0
1.0,0.1008,0.006298,0.0007544,1.0
1.5,0.1503,0.006134,0.001749,1.0
2.0,0.1996,0.006184,0.00289,1.0
2.5,0.2532,0.00645,0.003178,1.0
3.0,1.883,0.005157,-0.3276,0.0
3.5,1.748,0.005253,-0.2834,0.0
4.0,6.9,0.04453,-1.396,0.0
4.5,2.678,0.005207,-0.4385,0.0
5.0,4.66,0.00484,-0.1521,0.0
5.5,4.42,0.004826,-0.779,0.0
6.0,3.502,0.4348,-0.6377,0.0
6.5,1.377,0.00679,-0.1096,0.0
7.0,6.965,0.004272,-1.254,0.0
7.5,2.406,0.00622,-0.1902,0.0
8.0,8.91,0.004047,-1.552,0.0
8.5,8.984,0.00757,-1.019,0.0
9.0,6.46,0.00486,-1.075,0.0
9.5,19.33,0.00405,-3.793,0.0
10.0,17.84,0.003733,-3.477,0.0
10.5,22.47,6.0e-8,-4.418,0.0
11.0,0.6772,0.1288,-0.01535,1.0
11.5,12.09,0.01025,-2.543,0.0
12.0,0.6904,0.1437,-0.02039,1.0
12.5,0.6973,0.1508,-0.02277,1.0
13.0,0.706,0.1578,-0.02525,1.0
13.5,5.383,0.007996,-0.7754,0.0
14.0,0.7256,0.1719,-0.03035,1.0
