alpha,c_l,c_d,c_m,converged
-9.0,-0.6426,0.1056,-0.0003452,1.0
-8.5,-0.648,0.0978,-0.00494,1.0
-8.0,-0.659,0.09033,-0.01179,1.0
-7.5,-0.6587,0.0858,-0.01726,1.0
-7.0,-0.648,0.07184,-0.01596,1.0
-6.5,-0.624,0.0682,-0.01819,1.0
-6.0,-0.6035,0.05594,-0.01758,1.0
-5.5,-0.5713,0.04898,-0.01758,1.0
-5.0,-0.54,0.04245,-0.0166,1.0
-4.5,-0.4812,0.0352,-0.01666,1.0
-4.0,-0.4055,0.02777,-0.01221,1.0
-3.5,-0.353,0.02242,-0.00973,1.0
-3.0,-0.3044,0.01804,-0.00714,1.0
-2.5,-0.2104,0.01355,-0.0106,1.0
-2.0,-0.1681,0.01314,-0.00854,1.0
-1.5,-0.1259,0.01284,-0.006474,1.0
-1.0,-0.08374,0.01263,-0.004356,1.0
-0.5,-0.04184,0.0125,-0.002188,1.0
0.0,-0.0,0.01245,0.0,1.0
0.5,0.04184,0.01249,0.002188,1.0
1.0,0.08374,0.01262,0.004356,1.0
1.5,0.1259,0.01283,0.006466,1.0
2.0,0.1681,0.01314,0.00853,1.0
2.5,0.2106,0.01354,0.01058,1.0
3.0,0.3044,0.01804,0.00714,1.0
3.5,0.353,0.0224,0.009735,1.0
4.0,0.4055,0.02777,0.01221,1.0
4.5,0.509,0.03812,0.013176,1.0
5.0,0.391,163.0,-0.0354,0.0
5.5,0.571,0.05002,0.01816,1.0
6.0,0.604,0.05594,0.01756,1.0
6.5,0.624,0.0681,0.01817,1.0
7.0,0.6484,0.07184,0.01595,1.0
7.5,0.659,0.0859,0.01721,1.0
8.0,0.6597,0.09033,0.01164,1.0
8.5,0.325,0.04605,0.02469,1.0
9.0,0.643,0.1056,0.000193,1.0
9.5,0.6436,0.1132,-0.002693,1.0
10.0,0.6494,0.12085,-0.00393,1.0
10.5,0.6646,0.1353,0.0007405,1.0
11.0,0.362,0.07794,0.02089,1.0
11.5,0.3557,0.08093,0.01735,1.0
12.0,0.3474,0.0828,0.01336,1.0
12.5,2.457,0.06744,-0.476,0.0
13.0,0.3608,0.0924,0.009155,1.0
13.5,0.3997,0.1084,0.01141,1.0
14.0,0.4033,0.11237,0.008575,1.0
