alpha,Clx,Cly,Clz,Cmx,Cmy,Cmz,CDiff
-15.0078125,-0.0025483958098961946,0.0,-0.01567004331156137,-0.0,8.237378873967618e-5,-0.0,0.0016490253500105166
-14.0,-0.0022263611765236456,0.0,-0.014712773631264182,-0.0,7.734164371978854e-5,-0.0,0.00144064199293919
-12.9921875,-0.001924809250864072,0.0,-0.013737573029034642,-0.0,7.22152399958375e-5,-0.0,0.0012455126618415217
-12.0,-0.0016441075437738958,0.0,-0.01274563001264873,-0.0,6.700082527796095e-5,-0.0,0.0010638751669965738
-10.9921875,-0.001384598155289611,0.0,-0.01173815349439136,-0.0,6.170475453807414e-5,-0.0,0.0008959508757563735
-10.0,-0.0011465973576996545,0.0,-0.010716371317716827,-0.0,5.633348226486643e-5,-0.0,0.0007419444427586086
-8.9921875,-0.0009303952100933826,0.0,-0.009681528760837181,-0.0,5.0893554597510395e-5,-0.0,0.0006020435605075187
-7.99609375,-0.0007362552048569013,0.0,-0.008634887019062334,-0.0,4.539160134767617e-5,-0.0,0.0004764187306271191
-6.99609375,-0.0005644139465465708,0.0,-0.007577721667741537,-0.0,3.983432791957052e-5,-0.0,0.00036522305606548935
-5.99609375,-0.0004150808635315587,0.0,-0.0065113211076793555,-0.0,3.4228507137848485e-5,-0.0,0.00026859205450336916
-4.99609375,-0.0002884379527568708,0.0,-0.005436984994920964,-0.0,2.8580970993358635e-5,-0.0,0.00018664349319448542
-3.994140625,-0.00018463955793792717,0.0,-0.00435602265682025,-0.0,2.2898602316779518e-5,-0.0,0.00011947724543887857
-2.994140625,-0.00010381218145700169,0.0,-0.0032697514963212224,-0.0,1.718832639029681e-5,-0.0,6.717516886415716e-5
-1.994140625,-4.605433019077101e-5,0.0,-0.00217949538639742,-0.0,1.1457102507543194e-5,-0.0,2.980100566302125e-5
-0.99365234375,-1.1436395456875009e-5,0.0,-0.0010865830566061168,-0.0,5.711915492087142e-6,-0.0,7.400304908639855e-6
0.006839752197265625,-5.420311087353245e-10,0.0,7.481620904318882e-6,-0.0,-3.932914846176649e-8,-0.0,3.507394869069679e-10
1.0078125,-1.1760782702594538e-5,0.0,0.0011018807815646363,-0.0,-5.792332089468275e-6,-0.0,7.610210602776648e-6
2.0078125,-4.6702709341227786e-5,0.0,0.0021947651399411394,-0.0,-1.1537372065674465e-5,-0.0,3.0220561232595474e-5
3.0078125,-0.00010478376231204577,0.0,0.003284974668719192,-0.0,-1.7268351082132406e-5,-0.0,6.780386298354429e-5
4.01171875,-0.00018593315640128317,0.0,0.004371180695111444,-0.0,-2.297828461369988e-5,-0.0,0.00012031431189869786
5.01171875,-0.00029005199227923186,0.0,0.0054520594255253385,-0.0,-2.866021378403168e-5,-0.0,0.0001876879118354031
6.01171875,-0.00041701337703198006,0.0,0.0065262935589122115,-0.0,-3.430721384658237e-5,-0.0,0.0002698425524593997
7.01171875,-0.0005666625788098097,0.0,0.007592573892203642,-0.0,-3.991240262401324e-5,-0.0,0.0003666781093152761
8.0078125,-0.0007388172154037938,0.0,0.008649600915878634,-0.0,-4.5468948895719567e-5,-0.0,0.00047807656585130995
9.0078125,-0.0009332674765207546,0.0,0.00969608639771686,-0.0,-5.0970080723254444e-5,-0.0,0.0006039021572499588
10.0078125,-0.00114977637948569,0.0,0.010730754952808027,-0.0,-5.6409093703504674e-5,-0.0,0.0007440015358887453
11.015625,-0.0013880800580600488,0.0,0.011752345597903684,-0.0,-6.177935913955819e-5,-0.0,0.0008982039582298357
12.0078125,-0.0016478880840238499,0.0,0.012759613288217364,-0.0,-6.707433211930618e-5,-0.0,0.0010663214929105844
13.015625,-0.0019288838211297314,0.0,0.013751330434799957,-0.0,-7.228755949193512e-5,-0.0,0.0012481492497814295
14.0078125,-0.0022307248109975286,0.0,0.01472628840064128,-0.0,-7.74126877325841e-5,-0.0,0.0014434656296119825
