alpha,Clx,Cly,Clz,Cmx,Cmy,Cmz,CDiff
-15.0078125,-0.010193583239584778,0.0,-0.06268017324624547,-0.0,0.001317980619834819,-0.0,0.006596101400042066
-14.0,-0.008905444706094582,0.0,-0.05885109452505673,-0.0,0.0012374662995166166,-0.0,0.00576256797175676
-12.9921875,-0.007699237003456288,0.0,-0.05495029211613857,-0.0,0.0011554438399334,-0.0,0.004982050647366087
-12.0,-0.006576430175095583,0.0,-0.05098252005059492,-0.0,0.0010720132044473752,-0.0,0.004255500667986295
-10.9921875,-0.005538392621158444,0.0,-0.04695261397756544,-0.0,0.0009872760726091863,-0.0,0.003583803503025494
-10.0,-0.004586389430798618,0.0,-0.04286548527086731,-0.0,0.0009013357162378629,-0.0,0.0029677777710344342
-8.9921875,-0.0037215808403735303,0.0,-0.038726115043348726,-0.0,0.0008142968735601663,-0.0,0.0024081742420300747
-7.99609375,-0.002945020819427605,0.0,-0.034539548076249336,-0.0,0.0007262656215628187,-0.0,0.0019056749225084765
-6.99609375,-0.002257655786186283,0.0,-0.03031088667096615,-0.0,0.0006373492467131283,-0.0,0.0014608922242619574
-5.99609375,-0.0016603234541262349,0.0,-0.026045284430717422,-0.0,0.0005476561142055758,-0.0,0.0010743682180134767
-4.99609375,-0.0011537518110274832,0.0,-0.021747939979683856,-0.0,0.00045729553589373816,-0.0,0.0007465739727779417
-3.994140625,-0.0007385582317517087,0.0,-0.017424090627281,-0.0,0.0003663776370684723,-0.0,0.00047790898175551427
-2.994140625,-0.00041524872582800675,0.0,-0.01307900598528489,-0.0,0.000275013222244749,-0.0,0.00026870067545662864
-1.994140625,-0.00018421732076308404,0.0,-0.00871798154558968,-0.0,0.0001833136401206911,-0.0,0.000119204022652085
-0.99365234375,-4.5745581827500035e-5,0.0,-0.004346332226424467,-0.0,9.139064787339427e-5,-0.0,2.960121963455942e-5
0.006839752197265625,-2.168124434941298e-9,0.0,2.9926483617275527e-5,-0.0,-6.292663753882639e-7,-0.0,1.4029579476278717e-9
1.0078125,-4.704313081037815e-5,0.0,0.004407523126258545,-0.0,-9.26773134314924e-5,-0.0,3.044084241110659e-5
2.0078125,-0.00018681083736491114,0.0,0.008779060559764558,-0.0,-0.00018459795305079144,-0.0,0.0001208822449303819
3.0078125,-0.00041913504924818306,0.0,0.013139898674876768,-0.0,-0.0002762936173141185,-0.0,0.00027121545193417715
4.01171875,-0.0007437326256051327,0.0,0.017484722780445775,-0.0,-0.00036765255381919807,-0.0,0.0004812572475947914
5.01171875,-0.0011602079691169275,0.0,0.021808237702101354,-0.0,-0.00045856342054450687,-0.0,0.0007507516473416124
6.01171875,-0.0016680535081279202,0.0,0.026105174235648846,-0.0,-0.0005489154215453179,-0.0,0.0010793702098375988
7.01171875,-0.0022666503152392386,0.0,0.030370295568814567,-0.0,-0.0006385984419842118,-0.0,0.0014667124372611045
8.0078125,-0.002955268861615175,0.0,0.034598403663514535,-0.0,-0.0007275031823315131,-0.0,0.0019123062634052398
9.0078125,-0.0037330699060830184,0.0,0.03878434559086744,-0.0,-0.0008155212915720711,-0.0,0.0024156086289998354
10.0078125,-0.00459910551794276,0.0,0.04292301981123211,-0.0,-0.0009025454992560748,-0.0,0.002976006143554981
11.015625,-0.005552320232240195,0.0,0.047009382391614736,-0.0,-0.000988469746232931,-0.0,0.003592815832919343
12.0078125,-0.006591552336095399,0.0,0.05103845315286946,-0.0,-0.0010731893139088989,-0.0,0.0042652859716423375
13.015625,-0.007715535284518926,0.0,0.05500532173919983,-0.0,-0.0011566009518709619,-0.0,0.004992596999125718
14.0078125,-0.008922899243990114,0.0,0.05890515360256512,-0.0,-0.0012386030037213455,-0.0,0.00577386251844793
