alpha,Clx,Cly,Clz,Cmx,Cmy,Cmz,CDiff
-15.0078125,-0.1019358323958479,0.0,-0.6268017324624542,-0.0,0.13179806198348207,-0.0,0.06596101400042066
-14.0,-0.08905444706094574,0.0,-0.5885109452505668,-0.0,0.1237466299516616,-0.0,0.05762567971756745
-12.9921875,-0.07699237003456277,0.0,-0.549502921161386,-0.0,0.11554438399334002,-0.0,0.049820506473661035
-12.0,-0.06576430175095584,0.0,-0.509825200505949,-0.0,0.10720132044473735,-0.0,0.04255500667986299
-10.9921875,-0.055383926211584465,0.0,-0.46952613977565394,-0.0,0.09872760726091862,-0.0,0.03583803503025494
-10.0,-0.045863894307986146,0.0,-0.4286548527086728,-0.0,0.0901335716237863,-0.0,0.029677777710344428
-8.9921875,-0.03721580840373531,0.0,-0.3872611504334873,-0.0,0.08142968735601659,-0.0,0.024081742420300745
-7.99609375,-0.029450208194276028,0.0,-0.3453954807624936,-0.0,0.07262656215628195,-0.0,0.019056749225084824
-6.99609375,-0.02257655786186283,0.0,-0.3031088667096613,-0.0,0.06373492467131277,-0.0,0.014608922242619584
-5.99609375,-0.016603234541262352,0.0,-0.260452844307174,-0.0,0.05476561142055757,-0.0,0.010743682180134752
-4.99609375,-0.011537518110274826,0.0,-0.21747939979683856,-0.0,0.045729553589373834,-0.0,0.00746573972777942
-3.994140625,-0.007385582317517088,0.0,-0.17424090627280994,-0.0,0.036637763706847244,-0.0,0.004779089817555137
-2.994140625,-0.004152487258280062,0.0,-0.13079005985284886,-0.0,0.027501322224474947,-0.0,0.002687006754566285
-1.994140625,-0.0018421732076308404,0.0,-0.08717981545589679,-0.0,0.018331364012069105,-0.0,0.0011920402265208497
-0.99365234375,-0.000457455818275,0.0,-0.04346332226424471,-0.0,0.00913906478733944,-0.0,0.0002960121963455935
0.006839752197265625,-2.1681244349412995e-8,0.0,0.0002992648361727547,-0.0,-6.292663753882632e-5,-0.0,1.402957947627871e-8
1.0078125,-0.0004704313081037811,0.0,0.04407523126258545,-0.0,-0.009267731343149236,-0.0,0.00030440842411106565
2.0078125,-0.0018681083736491147,0.0,0.08779060559764551,-0.0,-0.018459795305079137,-0.0,0.00120882244930382
3.0078125,-0.004191350492481835,0.0,0.13139898674876768,-0.0,-0.02762936173141186,-0.0,0.002712154519341776
4.01171875,-0.00743732625605132,0.0,0.17484722780445772,-0.0,-0.036765255381919736,-0.0,0.004812572475947924
5.01171875,-0.011602079691169285,0.0,0.2180823770210136,-0.0,-0.045856342054450626,-0.0,0.007507516473416136
6.01171875,-0.016680535081279205,0.0,0.26105174235648837,-0.0,-0.05489154215453178,-0.0,0.010793702098375962
7.01171875,-0.0226665031523924,0.0,0.30370295568814565,-0.0,-0.0638598441984212,-0.0,0.014667124372611072
8.0078125,-0.02955268861615177,0.0,0.34598403663514476,-0.0,-0.07275031823315121,-0.0,0.019123062634052355
9.0078125,-0.037330699060830176,0.0,0.3878434559086744,-0.0,-0.08155212915720707,-0.0,0.02415608628999837
10.0078125,-0.04599105517942754,0.0,0.429230198112321,-0.0,-0.0902545499256075,-0.0,0.02976006143554988
11.015625,-0.05552320232240187,0.0,0.4700938239161472,-0.0,-0.09884697462329309,-0.0,0.035928158329193424
12.0078125,-0.06591552336095408,0.0,0.5103845315286942,-0.0,-0.10731893139089,-0.0,0.04265285971642343
13.015625,-0.07715535284518919,0.0,0.550053217391999,-0.0,-0.11566009518709629,-0.0,0.04992596999125725
14.0078125,-0.08922899243990128,0.0,0.5890515360256517,-0.0,-0.12386030037213458,-0.0,0.057738625184479316
