alpha,Clx,Cly,Clz,Cmx,Cmy,Cmz,CDiff
-15.0078125,-0.025483958098961975,0.0,-0.15670043311561355,-0.0,0.00823737887396763,-0.0,0.016490253500105165
-14.0,-0.022263611765236436,0.0,-0.1471277363126417,-0.0,0.00773416437197885,-0.0,0.014406419929391862
-12.9921875,-0.019248092508640693,0.0,-0.1373757302903465,-0.0,0.007221523999583751,-0.0,0.012455126618415259
-12.0,-0.01644107543773896,0.0,-0.12745630012648726,-0.0,0.006700082527796084,-0.0,0.010638751669965748
-10.9921875,-0.013845981552896116,0.0,-0.11738153494391348,-0.0,0.0061704754538074134,-0.0,0.008959508757563735
-10.0,-0.011465973576996536,0.0,-0.1071637131771682,-0.0,0.0056333482264866435,-0.0,0.007419444427586107
-8.9921875,-0.009303952100933828,0.0,-0.09681528760837183,-0.0,0.005089355459751037,-0.0,0.006020435605075186
-7.99609375,-0.007362552048569007,0.0,-0.0863488701906234,-0.0,0.004539160134767622,-0.0,0.004764187306271206
-6.99609375,-0.005644139465465708,0.0,-0.07577721667741533,-0.0,0.003983432791957048,-0.0,0.003652230560654896
-5.99609375,-0.004150808635315588,0.0,-0.0651132110767935,-0.0,0.003422850713784848,-0.0,0.002685920545033688
-4.99609375,-0.0028843795275687065,0.0,-0.05436984994920964,-0.0,0.0028580970993358646,-0.0,0.001866434931944855
-3.994140625,-0.001846395579379272,0.0,-0.043560226568202486,-0.0,0.0022898602316779528,-0.0,0.0011947724543887842
-2.994140625,-0.0010381218145700155,0.0,-0.032697514963212215,-0.0,0.0017188326390296842,-0.0,0.0006717516886415712
-1.994140625,-0.0004605433019077101,0.0,-0.021794953863974197,-0.0,0.001145710250754319,-0.0,0.00029801005663021243
-0.99365234375,-0.00011436395456875,0.0,-0.010865830566061177,-0.0,0.000571191549208715,-0.0,7.400304908639837e-5
0.006839752197265625,-5.420311087353249e-9,0.0,7.481620904318868e-5,-0.0,-3.932914846176645e-6,-0.0,3.5073948690696776e-9
1.0078125,-0.00011760782702594527,0.0,0.011018807815646363,-0.0,-0.0005792332089468272,-0.0,7.610210602776641e-5
2.0078125,-0.0004670270934122787,0.0,0.021947651399411378,-0.0,-0.001153737206567446,-0.0,0.000302205612325955
3.0078125,-0.0010478376231204587,0.0,0.03284974668719192,-0.0,-0.0017268351082132412,-0.0,0.000678038629835444
4.01171875,-0.00185933156401283,0.0,0.04371180695111443,-0.0,-0.0022978284613699835,-0.0,0.001203143118986981
5.01171875,-0.002900519922792321,0.0,0.0545205942552534,-0.0,-0.002866021378403164,-0.0,0.001876879118354034
6.01171875,-0.004170133770319801,0.0,0.06526293558912209,-0.0,-0.003430721384658236,-0.0,0.0026984255245939906
7.01171875,-0.0056666257880981,0.0,0.07592573892203641,-0.0,-0.003991240262401325,-0.0,0.003666781093152768
8.0078125,-0.007388172154037942,0.0,0.08649600915878619,-0.0,-0.004546894889571951,-0.0,0.004780765658513089
9.0078125,-0.009332674765207544,0.0,0.0969608639771686,-0.0,-0.005097008072325442,-0.0,0.006039021572499592
10.0078125,-0.011497763794856885,0.0,0.10730754952808025,-0.0,-0.0056409093703504685,-0.0,0.00744001535888747
11.015625,-0.013880800580600467,0.0,0.1175234559790368,-0.0,-0.006177935913955818,-0.0,0.008982039582298356
12.0078125,-0.01647888084023852,0.0,0.12759613288217356,-0.0,-0.006707433211930625,-0.0,0.010663214929105857
13.015625,-0.019288838211297298,0.0,0.13751330434799974,-0.0,-0.007228755949193518,-0.0,0.012481492497814313
14.0078125,-0.02230724810997532,0.0,0.14726288400641294,-0.0,-0.007741268773258411,-0.0,0.014434656296119829
