alpha,Clx,Cly,Clz,Cmx,Cmy,Cmz,CDiff
-15.0078125,-0.0016989305399307977,0.0,-0.01044669554104091,-0.0,3.6610572773189396e-5,-0.0,0.0010993502333403445
-14.0,-0.0014842407843490956,0.0,-0.009808515754176118,-0.0,3.437406387546157e-5,-0.0,0.0009604279952927932
-12.9921875,-0.0012832061672427126,0.0,-0.00915838201935643,-0.0,3.209566222037222e-5,-0.0,0.0008303417745610145
-12.0,-0.0010960716958492642,0.0,-0.008497086675099148,-0.0,2.9778144567982634e-5,-0.0,0.0007092501113310491
-10.9921875,-0.0009230654368597413,0.0,-0.007825435662927576,-0.0,2.7424335350255188e-5,-0.0,0.0005973005838375824
-10.0,-0.0007643982384664357,0.0,-0.007144247545144551,-0.0,2.5037103228829514e-5,-0.0,0.000494629628505739
-8.9921875,-0.0006202634733955875,0.0,-0.006454352507224783,-0.0,2.261935759889347e-5,-0.0,0.00040136237367167915
-7.99609375,-0.0004908368032379344,0.0,-0.005756591346041558,-0.0,2.017404504341166e-5,-0.0,0.00031761248708474607
-6.99609375,-0.0003762759643643806,0.0,-0.005051814445161029,-0.0,1.7704145742031343e-5,-0.0,0.00024348203737699288
-5.99609375,-0.0002767205756877055,0.0,-0.004340880738452899,-0.0,1.5212669839043764e-5,-0.0,0.00017906136966891275
-4.99609375,-0.00019229196850458058,0.0,-0.003624656663280642,-0.0,1.2702653774826058e-5,-0.0,0.00012442899546299027
-3.994140625,-0.00012309303862528476,0.0,-0.002904015104546834,-0.0,1.0177156585235327e-5,-0.0,7.965149695925238e-5
-2.994140625,-6.920812097133437e-5,0.0,-0.0021798343308808144,-0.0,7.639256173465254e-6,-0.0,4.478344590943811e-5
-1.994140625,-3.0702886793847344e-5,0.0,-0.0014529969242649476,-0.0,5.0920455589080845e-6,-0.0,1.9867337108680832e-5
-0.99365234375,-7.624263637916661e-6,0.0,-0.0007243887044040784,-0.0,2.5386291075942855e-6,-0.0,4.933536605759904e-6
0.006839752197265625,-3.613540724902162e-10,0.0,4.987747269545917e-6,-0.0,-1.7479621538562884e-8,-0.0,2.338263246046453e-10
1.0078125,-7.84052180172969e-6,0.0,0.0007345871877097579,-0.0,-2.5743698175414577e-6,-0.0,5.073473735184432e-6
2.0078125,-3.113513956081855e-5,0.0,0.0014631767599607602,-0.0,-5.127720918077544e-6,-0.0,2.0147040821730316e-5
3.0078125,-6.985584154136384e-5,0.0,0.002189983112479465,-0.0,-7.674822703169958e-6,-0.0,4.5202575322362855e-5
4.01171875,-0.0001239554376008554,0.0,0.002914120463407629,-0.0,-1.0212570939422155e-5,-0.0,8.020954126579857e-5
5.01171875,-0.00019336799485282141,0.0,0.0036347062836835572,-0.0,-1.273787279290296e-5,-0.0,0.00012512527455693542
6.01171875,-0.0002780089180213199,0.0,0.004350862372608138,-0.0,-1.5247650598481062e-5,-0.0,0.00017989503497293312
7.01171875,-0.000377775052539873,0.0,0.0050617159281357614,-0.0,-1.7738845610672574e-5,-0.0,0.00024445207287685075
8.0078125,-0.0004925448102691964,0.0,0.005766400610585751,-0.0,-2.0208421731430895e-5,-0.0,0.00031871771056753997
9.0078125,-0.0006221783176805024,0.0,0.006464057598477899,-0.0,-2.2653369210335314e-5,-0.0,0.00040260143816663925
10.0078125,-0.0007665175863237918,0.0,0.007153836635205343,-0.0,-2.5070708312668723e-5,-0.0,0.0004960010239258301
11.015625,-0.0009253867053733658,0.0,0.007834897065269113,-0.0,-2.745749295091474e-5,-0.0,0.0005988026388198905
12.0078125,-0.0010985920560159005,0.0,0.00850640885881157,-0.0,-2.9810814275247216e-5,-0.0,0.0007108809952737229
13.015625,-0.0012859225474198218,0.0,0.00916755362319998,-0.0,-3.2127804218637796e-5,-0.0,0.0008320994998542863
14.0078125,-0.001487149873998352,0.0,0.009817525600427516,-0.0,-3.440563899225962e-5,-0.0,0.0009623104197413215
