Leading Edge Location,Wing Chord Length,Wingspan,Tail Chord Length,Tailspan,Angle of Twist (rad),Tail Distance,Wing Distance,Alpha,Tail Leading Edge Location,Cmg,dCmg
3.956424304,1.851493852,4.647725961,0.868078663,0.331091594,12.04294803,0.178882186,-0.438124207,2,3.993042136,2.55E-06,-1.251189694
2.423218977,2.348791745,4.647725961,0.843987999,0.331091594,7.788523954,0.178882186,-0.438124207,2,2.446958445,2.55E-06,-1.251189694
,,,,,,,,,,,
,,,,Coterminal,-0.523422491,,,,,,
,,,,,1.505338694,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Wing Area,,,,,,,,,,,
