alpha,c_l,c_d,c_m,converged
-60.0,-216.4,0.0004683,85.25,0.0
-60.0,-214.6,5.25e-6,84.44,0.0
-59.97,-213.8,2.4e-7,84.06,0.0
-59.97,-218.1,2.67e-5,85.9,0.0
-59.97,-216.2,0.000673,85.06,0.0
-59.94,-218.5,0.000507,85.94,0.0
-59.94,-218.1,9.0e-7,85.9,0.0
-59.94,-218.0,6.0e-8,85.75,0.0
-59.9,-217.8,0.001376,85.56,0.0
-59.9,-216.5,1.11e-5,85.06,0.0
-59.9,-218.0,0.0004363,85.7,0.0
-59.88,-220.0,0.0001819,86.44,0.0
-59.88,-217.4,9.26e-5,85.4,0.0
-59.88,-219.1,0.000697,86.06,0.0
-59.88,-213.1,3.81e-5,83.5,0.0
-59.84,-218.4,0.0005817,85.7,0.0
-59.84,-216.5,0.00051,84.9,0.0
-59.84,-217.9,0.000302,85.44,0.0
-59.8,-219.0,0.0004208,85.8,0.0
-59.8,-216.0,1.97e-6,84.6,0.0
-59.8,-214.0,9.5e-7,83.75,0.0
-59.78,-217.5,1.0e-7,85.2,0.0
-59.78,-215.0,0.0001554,84.06,0.0
-59.78,-217.9,8.3e-7,85.3,0.0
-59.75,-215.6,7.82e-5,84.25,0.0
-59.75,-216.2,0.0,84.5,0.0
-59.75,-220.8,3.8e-6,86.44,0.0
-59.72,-217.4,0.000875,84.94,0.0
-59.72,-214.6,3.0e-7,83.8,0.0
-59.72,-220.1,0.0001804,86.06,0.0
-59.7,-215.9,3.2e-5,84.25,0.0
-59.7,-216.1,0.0002401,84.3,0.0
-59.7,-218.8,0.0004086,85.4,0.0
-59.66,-213.2,0.0,83.1,0.0
-59.66,-217.0,0.0001463,84.56,0.0
-59.66,-217.2,0.00011736,84.7,0.0
-59.62,-217.0,4.697e-5,84.56,0.0
-59.62,-220.0,0.000163,85.8,0.0
-59.62,-214.4,9.847e-5,83.44,0.0
-59.62,-220.5,0.00010407,85.94,0.0
-59.6,-220.1,0.000279,85.75,0.0
-59.6,-218.2,3.25e-5,84.94,0.0
-59.6,-217.9,3.6e-7,84.8,0.0
-59.56,-215.4,0.0004416,83.7,0.0
-59.56,-217.4,7.3e-6,84.56,0.0
-59.56,-219.8,0.0004945,85.5,0.0
-59.53,-219.5,0.0001061,85.3,0.0
