alpha,c_l,c_d,c_m,converged
-60.0,-56.2,0.06854,23.36,0.0
-60.0,-27.83,87.44,13.336,0.0
-59.97,-41.94,0.06,17.9,0.0
-59.97,-36.7,0.0,16.98,0.0
-59.97,-38.5,0.02864,15.984,0.0
-59.94,-36.72,0.001684,15.38,0.0
-59.94,-0.4895,0.466,0.1865,1.0
-59.94,-50.7,0.06146,21.19,0.0
-59.9,-36.7,0.02654,13.07,0.0
-59.9,-40.06,0.0794,15.516,0.0
-59.9,-18.83,0.0,9.04,0.0
-59.88,-35.72,0.02211,12.78,0.0
-59.88,-18.6,2.14e-5,8.4,0.0
-59.88,-30.73,0.0,14.766,0.0
-59.88,-48.4,0.0446,20.12,0.0
-59.84,-23.66,0.11505,8.64,0.0
-59.84,-41.3,0.01761,16.72,0.0
-59.84,-51.2,0.00513,19.7,0.0
-59.8,-36.9,0.00010335,15.945,0.0
-59.8,-43.38,0.0354,15.97,0.0
-59.8,-41.7,0.02232,14.82,0.0
-59.78,-49.7,0.03305,19.8,0.0
-59.78,-49.56,0.02649,17.88,0.0
-59.78,-51.3,0.1273,21.22,0.0
-59.75,-0.4907,0.465,0.1855,1.0
-59.75,-38.34,0.01354,15.44,0.0
-59.75,-41.4,0.03134,14.945,0.0
-59.72,-0.491,0.4648,0.1853,1.0
-59.72,-10.484,0.0,5.004,0.0
-59.72,-36.22,0.003393,14.69,0.0
-59.7,-39.88,0.0252,16.22,0.0
-59.7,-48.4,0.0404,19.02,0.0
-59.7,-40.75,0.1015,17.9,0.0
-59.66,-0.4915,0.4646,0.185,1.0
-59.66,-54.53,0.04596,22.42,0.0
-59.66,-42.1,0.00011754,17.22,0.0
-59.62,-14.52,0.00011736,6.92,0.0
-59.62,-60.66,3.8e-6,25.16,0.0
-59.62,-22.97,0.0,10.625,0.0
-59.62,-11.42,6.0e-8,5.438,0.0
-59.6,-38.06,0.02669,13.39,0.0
-59.6,-0.4016,74.44,0.1494,0.0
-59.6,-34.44,0.001175,14.03,0.0
-59.56,-35.53,0.02994,12.47,0.0
-59.56,-32.66,2.337e-5,13.16,0.0
-59.56,-0.4922,0.4639,0.1843,1.0
-59.53,-38.12,0.1885,17.66,0.0
-59.53,-34.2,0.00098,13.95,0.0
-59.53,-45.6,8.33e-5,19.95,0.0
-59.5,-30.05,0.0,14.125,0.0
-59.5,-20.52,0.0,9.664,0.0
-59.5,-56.3,0.0002747,24.38,0.0
-59.47,-33.66,0.0658,11.59,0.0
-59.47,-37.22,0.000292,15.81,0.0
-59.47,-36.78,0.09875,15.58,0.0
-59.44,-21.39,3.123e-5,9.766,0.0
-59.44,-38.78,0.01831,15.39,0.0
-59.44,-44.5,0.0138,15.445,0.0
-59.4,-50.3,0.01056,18.1,0.0
-59.4,-38.03,0.0002419,14.92,0.0
-59.4,-52.97,0.01889,20.3,0.0
-59.38,-43.66,0.01512,15.47,0.0
-59.38,-40.16,0.02118,14.18,0.0
-59.38,-16.77,0.002542,8.09,0.0
-59.38,-0.4934,0.463,0.1832,1.0
-59.34,-62.16,0.0003655,26.52,0.0
-59.34,-61.5,0.00748,22.67,0.0
-59.34,-26.0,0.0003967,11.8,0.0
-59.3,-62.9,4.44e-5,27.08,0.0
-59.3,-26.33,0.0014715,11.94,0.0
-59.3,-53.84,0.1259,23.28,0.0
-59.28,-42.78,0.02162,17.94,0.0
-59.28,-0.4941,0.4626,0.1827,1.0
-59.28,-49.28,1.37e-5,20.89,0.0
-59.25,-37.2,0.011185,14.83,0.0
-59.25,-43.75,0.03864,17.61,0.0
-59.25,-44.56,0.0815,17.9,0.0
-59.22,-55.75,0.0014105,22.92,0.0
-59.22,-46.56,4.49e-5,19.94,0.0
-59.22,-60.34,0.005707,25.2,0.0
-59.2,-19.67,0.01788,8.74,0.0
-59.2,-10.555,0.1312,5.062,0.0
-59.2,-25.11,0.0652,12.04,0.0
-59.16,-39.12,0.02448,15.58,0.0
-59.16,-3.145,0.0,1.493,0.0
-59.16,-51.9,0.06903,21.62,0.0
-59.12,-48.06,0.06476,18.77,0.0
-59.12,-39.78,0.02232,15.91,0.0
-59.12,-28.42,0.013626,12.71,0.0
-59.12,-54.6,0.06506,21.95,0.0
-59.1,-24.42,0.02386,10.58,0.0
-59.1,-40.16,0.008125,16.92,0.0
-59.1,-39.0,0.0238,15.49,0.0
-59.06,-35.3,0.0,15.4,0.0
-59.06,-35.72,0.0006037,14.586,0.0
-59.06,-46.75,9.537e-5,19.88,0.0
-59.03,-18.2,0.0,8.66,0.0
-59.03,-34.56,0.0001493,13.14,0.0
-59.03,-51.44,0.02795,21.14,0.0
-59.0,-2.139,0.278,0.977,0.0
-59.0,-58.38,0.01113,24.61,0.0
-59.0,-18.45,0.0,8.484,0.0
-58.97,-21.98,56.2,10.47,0.0
-58.97,-52.88,0.05017,20.75,0.0
-58.97,-39.66,0.01999,15.625,0.0
-58.94,-26.84,0.0,12.555,0.0
-58.94,-45.84,0.1582,20.06,0.0
-58.94,-55.25,0.0275,21.39,0.0
-58.9,-32.12,0.11383,11.62,0.0
-58.9,-51.03,0.0771,20.17,0.0
-58.9,-38.88,0.04626,14.74,0.0
-58.88,-52.5,0.02478,18.6,0.0
-58.88,-39.2,0.02414,15.44,0.0
-58.88,-74.5,0.0673,32.9,0.0
-58.88,-31.11,0.02235,10.64,0.0
-58.84,-21.86,0.0,10.0,0.0
-58.84,-52.1,0.1449,21.34,0.0
-58.84,-43.9,0.0221,18.06,0.0
-58.8,-28.33,0.06305,9.91,0.0
-58.8,-25.27,4.05e-6,11.88,0.0
-58.8,-44.8,0.04694,15.73,0.0
-58.78,-39.25,0.02133,15.42,0.0
-58.78,-0.4976,0.46,0.1799,1.0
-58.78,-13.74,0.0,6.34,0.0
-58.75,-50.38,0.0153,17.4,0.0
-58.75,-42.56,0.0006547,17.16,0.0
-58.75,-6.848,0.0,3.09,0.0
-58.72,-40.03,0.06003,16.92,0.0
-58.72,-48.3,0.02086,20.02,0.0
-58.72,-39.6,0.02702,15.266,0.0
-58.7,-27.86,0.332,11.56,0.0
-58.7,-45.06,0.04413,15.586,0.0
-58.7,-45.34,0.02037,18.08,0.0
-58.66,-46.88,0.001133,19.16,0.0
-58.66,-66.44,0.001952,27.88,0.0
-58.66,-44.62,0.0002168,18.02,0.0
-58.62,-25.06,398.2,11.79,0.0
-58.62,-29.64,0.0,13.71,0.0
-58.62,-33.22,0.03412,11.75,0.0
-58.62,-47.7,0.000216,20.06,0.0
-58.6,-47.34,0.1032,20.88,0.0
-58.6,-37.66,0.0654,13.03,0.0
-58.6,-34.88,0.0,14.33,0.0
-58.56,-46.38,0.0,18.55,0.0
-58.56,-25.67,0.002827,9.15,0.0
-58.56,-54.8,0.04138,22.31,0.0
-58.53,-25.4,0.0,11.336,0.0
-58.53,-44.75,0.003048,18.38,0.0
-58.53,-51.97,0.04987,19.97,0.0
-58.5,-37.34,0.00508,16.45,0.0
-58.5,-40.62,0.04318,15.836,0.0
-58.5,-37.4,0.03397,15.45,0.0
-58.47,-8.28,0.0,3.877,0.0
-58.47,-39.38,0.02434,15.37,0.0
-58.47,-0.4995,0.4585,0.1781,1.0
-58.44,-36.62,0.0199,16.11,0.0
-58.44,-18.22,0.0,8.48,0.0
-58.44,-20.48,0.0,9.12,0.0
-58.4,-55.9,0.0105,21.53,0.0
-58.4,-45.94,0.056,18.16,0.0
-58.4,-40.4,0.0251,15.75,0.0
-58.38,-34.3,0.001173,13.555,0.0
-58.38,-3.213,0.0578,1.309,0.0
-58.38,-57.88,0.0587,22.69,0.0
-58.38,-30.27,0.0751,10.664,0.0
-58.34,-48.62,0.01833,19.88,0.0
-58.34,-20.75,0.03802,6.465,0.0
-58.34,-28.56,3.3e-5,12.61,0.0
-58.3,-39.94,0.006332,17.77,0.0
-58.3,-0.5005,0.4578,0.1772,1.0
-58.3,-32.38,0.04898,13.86,0.0
-58.28,-43.8,0.02522,17.52,0.0
-58.28,-0.5005,0.4575,0.1771,1.0
-58.28,-38.38,0.01709,16.66,0.0
-58.25,-44.16,0.02289,17.61,0.0
-58.25,-57.03,0.0386,21.94,0.0
-58.25,-45.5,0.046,15.62,0.0
-58.22,-36.0,1.0e-7,14.32,0.0
-58.22,-40.72,0.0254,16.1,0.0
-58.22,-104.75,0.002172,48.38,0.0
-58.2,-0.5015,0.457,0.1766,1.0
-58.2,-36.4,0.02554,12.32,0.0
-58.2,-40.0,0.001519,16.19,0.0
-58.16,-0.5015,0.457,0.1765,1.0
-58.16,-24.16,0.3813,10.34,0.0
-58.16,-46.84,0.001448,18.16,0.0
-58.12,-13.78,1.267,6.062,0.0
-58.12,-0.5015,0.4568,0.1763,1.0
-58.12,-48.66,0.001255,19.27,0.0
